date,Azarine Azarine Hm-c Sunsc Srm Spf50 Pa++++ 40ml,isPartial
2019-11-10,0,False
2019-11-17,42,False
2019-11-24,58,False
2019-12-01,0,False
2019-12-08,53,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,47,False
2020-01-26,47,False
2020-02-02,0,False
2020-02-09,40,False
2020-02-16,0,False
2020-02-23,59,False
2020-03-01,62,False
2020-03-08,52,False
2020-03-15,76,False
2020-03-22,65,False
2020-03-29,38,False
2020-04-05,77,False
2020-04-12,56,False
2020-04-19,43,False
2020-04-26,39,False
2020-05-03,0,False
2020-05-10,71,False
2020-05-17,45,False
2020-05-24,63,False
2020-05-31,54,False
2020-06-07,65,False
2020-06-14,0,False
2020-06-21,43,False
2020-06-28,59,False
2020-07-05,45,False
2020-07-12,37,False
2020-07-19,0,False
2020-07-26,63,False
2020-08-02,45,False
2020-08-09,44,False
2020-08-16,40,False
2020-08-23,42,False
2020-08-30,53,False
2020-09-06,51,False
2020-09-13,0,False
2020-09-20,0,False
2020-09-27,0,False
2020-10-04,35,False
2020-10-11,0,False
2020-10-18,0,False
2020-10-25,51,False
2020-11-01,43,False
2020-11-08,42,False
2020-11-15,0,False
2020-11-22,52,False
2020-11-29,63,False
2020-12-06,45,False
2020-12-13,39,False
2020-12-20,0,False
2020-12-27,58,False
2021-01-03,53,False
2021-01-10,0,False
2021-01-17,0,False
2021-01-24,56,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,38,False
2021-02-21,40,False
2021-02-28,47,False
2021-03-07,79,False
2021-03-14,56,False
2021-03-21,64,False
2021-03-28,66,False
2021-04-04,48,False
2021-04-11,45,False
2021-04-18,54,False
2021-04-25,56,False
2021-05-02,53,False
2021-05-09,46,False
2021-05-16,57,False
2021-05-23,57,False
2021-05-30,100,False
2021-06-06,47,False
2021-06-13,62,False
2021-06-20,44,False
2021-06-27,0,False
2021-07-04,85,False
2021-07-11,59,False
2021-07-18,39,False
2021-07-25,0,False
2021-08-01,39,False
2021-08-08,47,False
2021-08-15,51,False
2021-08-22,51,False
2021-08-29,64,False
2021-09-05,51,False
2021-09-12,37,False
2021-09-19,35,False
2021-09-26,67,False
2021-10-03,37,False
2021-10-10,57,False
2021-10-17,46,False
2021-10-24,41,False
2021-10-31,0,False
2021-11-07,73,False
2021-11-14,0,False
2021-11-21,45,False
2021-11-28,38,False
2021-12-05,45,False
2021-12-12,74,False
2021-12-19,41,False
2021-12-26,0,False
2022-01-02,43,False
2022-01-09,45,False
2022-01-16,35,False
2022-01-23,0,False
2022-01-30,70,False
2022-02-06,52,False
2022-02-13,43,False
2022-02-20,47,False
2022-02-27,53,False
2022-03-06,43,False
2022-03-13,40,False
2022-03-20,45,False
2022-03-27,22,False
2022-04-03,43,False
2022-04-10,27,False
2022-04-17,33,False
2022-04-24,39,False
2022-05-01,32,False
2022-05-08,35,False
2022-05-15,46,False
2022-05-22,54,False
2022-05-29,54,False
2022-06-05,40,False
2022-06-12,49,False
2022-06-19,43,False
2022-06-26,53,False
2022-07-03,40,False
2022-07-10,35,False
2022-07-17,39,False
2022-07-24,35,False
2022-07-31,93,False
2022-08-07,40,False
2022-08-14,40,False
2022-08-21,36,False
2022-08-28,40,False
2022-09-04,26,False
2022-09-11,59,False
2022-09-18,45,False
2022-09-25,57,False
2022-10-02,47,False
2022-10-09,42,False
2022-10-16,48,False
2022-10-23,49,False
2022-10-30,37,False
2022-11-06,33,False
2022-11-13,48,False
2022-11-20,58,False
2022-11-27,37,False
2022-12-04,30,False
2022-12-11,38,False
2022-12-18,39,False
2022-12-25,55,False
2023-01-01,73,False
2023-01-08,0,False
2023-01-15,36,False
2023-01-22,51,False
2023-01-29,43,False
2023-02-05,38,False
2023-02-12,46,False
2023-02-19,53,False
2023-02-26,42,False
2023-03-05,38,False
2023-03-12,58,False
2023-03-19,55,False
2023-03-26,47,False
2023-04-02,53,False
2023-04-09,35,False
